272a92,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/structure/views/view/uuids_articulos,1708011690,272a92,200,request
54d9e2,172.18.0.5,POST,https://prueba2.ddev.site/es/admin/structure/views/view/uuids_articulos/preview/page_1?_wrapper_format=drupal_ajax,1708011691,54d9e2,200,request
809428,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/config/services/jsonapi,1708011698,809428,200,request
4f4194,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/config/services/jsonapi/extras,1708011701,4f4194,200,request
7c3739,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/config/services/jsonapi/extras,1708011722,7c3739,200,request
3580ce,172.18.0.5,POST,https://prueba2.ddev.site/es/admin/config/services/jsonapi/extras,1708011721,3580ce,303,request
394b50,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/config/services/jsonapi/resource_types,1708011724,394b50,200,request
53f9dc,172.18.0.5,POST,https://prueba2.ddev.site/es/history/2/read,1708068896,53f9dc,200,request
dfc718,172.18.0.5,POST,https://prueba2.ddev.site/es/contextual/render,1708068896,dfc718,200,request
feabdc,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/content,1708068905,feabdc,200,request
0b6764,172.18.0.5,GET,https://prueba2.ddev.site/core/themes/stable/images/core/icons/787878/file.svg,1708068907,0b6764,200,request
69a4a0,172.18.0.5,GET,https://prueba2.ddev.site/core/themes/stable/images/core/icons/787878/file.svg,1708068907,69a4a0,404,request
a0c8e5,172.18.0.5,GET,https://prueba2.ddev.site/,1708068894,a0c8e5,200,request
4a166c,172.18.0.5,GET,https://prueba2.ddev.site/favicon.ico,1708071644,e300b1,500,request
e300b1,172.18.0.5,GET,https://prueba2.ddev.site/favicon.ico,1708071644,e300b1,500,request
8ec11e,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/appearance,1708071646,2d7842,500,request
2d7842,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/appearance,1708071646,2d7842,500,request
4c51a6,172.18.0.5,GET,https://prueba2.ddev.site/,1708071660,d63714,500,request
d63714,172.18.0.5,GET,https://prueba2.ddev.site/,1708071660,d63714,500,request
9ad7c8,172.18.0.5,GET,https://prueba2.ddev.site/,1708071660,f75055,500,request
f75055,172.18.0.5,GET,https://prueba2.ddev.site/,1708071660,f75055,500,request
1418ba,172.18.0.5,GET,https://prueba2.ddev.site/,1708071679,1418ba,200,request
5983a9,172.18.0.5,POST,https://prueba2.ddev.site/es/history/2/read,1708071680,5983a9,200,request
397cca,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/modules,1708071682,397cca,200,request
91ccd9,172.18.0.5,GET,https://prueba2.ddev.site/core/themes/stable/images/core/icons/787878/puzzlepiece.svg,1708071683,91ccd9,200,request
4122f1,172.18.0.5,GET,https://prueba2.ddev.site/core/themes/stable/images/core/icons/787878/puzzlepiece.svg,1708071683,4122f1,404,request
2b167d,172.18.0.5,GET,https://prueba2.ddev.site/core/themes/stable/images/core/icons/787878/paintbrush.svg,1708071685,2b167d,200,request
f87fb1,172.18.0.5,GET,https://prueba2.ddev.site/core/themes/stable/images/core/icons/787878/paintbrush.svg,1708071685,f87fb1,404,request
f8d627,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/appearance,1708071685,f8d627,200,request
4764ef,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/appearance,1708071720,4764ef,200,request
50cc27,172.18.0.5,GET,https://prueba2.ddev.site/es/admin/appearance,1708071744,50cc27,200,request
